TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_NULLABLE,COLUMN_DEFAULT,COMMENT
S3_STAGES,DL_RENDER_UNITS,LABELS_ERP_PROJECT_ID,16,TEXT,16777216,,,YES,,
S3_STAGES,DL_RENDER_UNITS,LABELS_FUNDING_POLYGONS,17,TEXT,16777216,,,YES,,
S3_STAGES,DL_RENDER_UNITS,LABELS_BLUEPRINT_ID,18,TEXT,16777216,,,YES,,
S3_STAGES,DL_RENDER_UNITS,ASSET_ID,19,TEXT,16777216,,,YES,,
S3_STAGES,DL_RENDER_UNITS,UNIT_TYPE,20,TEXT,16777216,,,YES,,
S3_STAGES,DL_RENDER_UNITS,RUS_CODE,21,TEXT,16777216,,,YES,,
S3_STAGES,DL_RENDER_UNITS,UNIT_CODE,22,TEXT,16777216,,,YES,,
S3_STAGES,DL_RENDER_UNITS,UNIT_DESCRIPTION,23,TEXT,16777216,,,YES,,
S3_STAGES,DL_RENDER_UNITS,UOM,24,TEXT,16777216,,,YES,,
S3_STAGES,DL_RENDER_UNITS,CONTRACTOR,25,TEXT,16777216,,,YES,,
S3_STAGES,DL_RENDER_UNITS,INSTALLED_PER_TASK_NOTES,26,TEXT,16777216,,,YES,,
S3_STAGES,DL_RENDER_UNITS,CREW_NAME,27,TEXT,16777216,,,YES,,
S3_STAGES,DL_RENDER_UNITS,WORK_ACTIVITY,28,TEXT,16777216,,,YES,,
S3_STAGES,DL_RENDER_UNITS,ACTUAL_QUANTITY,29,FLOAT,,,,YES,,
S3_STAGES,DL_RENDER_UNITS,APPROVING_USER,30,TEXT,16777216,,,YES,,
S3_STAGES,DL_RENDER_UNITS,APPROVED_DATE,31,DATE,,,,YES,,
S3_STAGES,DL_RENDER_UNITS,COMPLETED_DATE,32,DATE,,,,YES,,
S3_STAGES,DL_RENDER_UNITS,ORIGINAL_COMPLETED_DATE,33,DATE,,,,YES,,
S3_STAGES,DL_RENDER_UNITS,CHANGE_REQUEST_APPROVAL_NUMBER,34,TEXT,16777216,,,YES,,
S3_STAGES,DL_RENDER_UNITS,CONSTRUCTION_NOTES,35,TEXT,16777216,,,YES,,
S3_STAGES,DL_RENDER_UNITS,TASK_NOTES,36,TEXT,16777216,,,YES,,
S3_STAGES,DL_RENDER_UNITS,PLANNED_QUANTITY,37,FLOAT,,,,YES,,
S3_STAGES,DL_RENDER_UNITS,STREET_ADDRESS,38,TEXT,16777216,,,YES,,
S3_STAGES,DL_TASK_LOG,TS,1,TIMESTAMP_TZ,,,,YES,,
S3_STAGES,DL_TASK_LOG,WHO,2,TEXT,16777216,,,YES,,
S3_STAGES,DL_TASK_LOG,NOTE,3,TEXT,16777216,,,YES,,
S3_STAGES,DL_VETRO_LOCATIONS,LONGITUDE,1,FLOAT,,,,YES,,
S3_STAGES,DL_VETRO_LOCATIONS,LATITUDE,2,FLOAT,,,,YES,,
S3_STAGES,DL_VETRO_LOCATIONS,V_LAYER,3,TEXT,16777216,,,YES,,
S3_STAGES,DL_VETRO_LOCATIONS,V_PROJECT,4,TEXT,16777216,,,YES,,
S3_STAGES,DL_VETRO_LOCATIONS,V_PLAN,5,TEXT,16777216,,,YES,,
S3_STAGES,DL_VETRO_LOCATIONS,V_STATUS,6,TEXT,16777216,,,YES,,
S3_STAGES,DL_VETRO_LOCATIONS,ID,7,TEXT,16777216,,,YES,,
S3_STAGES,DL_VETRO_LOCATIONS,ADDRESS,8,TEXT,16777216,,,YES,,
S3_STAGES,DL_VETRO_LOCATIONS,STREET_ADDRESS,9,TEXT,16777216,,,YES,,
S3_STAGES,DL_VETRO_LOCATIONS,HOUSE_NUMBER,10,TEXT,16777216,,,YES,,
S3_STAGES,DL_VETRO_LOCATIONS,STREET_NAME,11,TEXT,16777216,,,YES,,
S3_STAGES,DL_VETRO_LOCATIONS,STREET_SUFFIX,12,TEXT,16777216,,,YES,,
S3_STAGES,DL_VETRO_LOCATIONS,STREET_DIRECTION,13,TEXT,16777216,,,YES,,
S3_STAGES,DL_VETRO_LOCATIONS,CITY,14,TEXT,16777216,,,YES,,
S3_STAGES,DL_VETRO_LOCATIONS,STATE,15,TEXT,16777216,,,YES,,
S3_STAGES,DL_VETRO_LOCATIONS,ZIP_CODE,16,TEXT,16777216,,,YES,,
S3_STAGES,DL_VETRO_LOCATIONS,BUILDING_TYPE,17,TEXT,16777216,,,YES,,
S3_STAGES,DL_VETRO_LOCATIONS,NOTE,18,TEXT,16777216,,,YES,,
S3_STAGES,DL_VETRO_LOCATIONS,DROP_TYPE,19,TEXT,16777216,,,YES,,
S3_STAGES,DL_VETRO_LOCATIONS,BUILD,20,TEXT,16777216,,,YES,,
S3_STAGES,DL_VETRO_LOCATIONS,REC_MEMBER,21,TEXT,16777216,,,YES,,
S3_STAGES,DL_VETRO_LOCATIONS,ADDRESS_TYPE,22,TEXT,16777216,,,YES,,
S3_STAGES,DL_VETRO_LOCATIONS,DEFERRED_BUILD,23,TEXT,16777216,,,YES,,
S3_STAGES,DL_VETRO_LOCATIONS,UNIT_NUMBER,24,TEXT,16777216,,,YES,,
S3_STAGES,DL_VETRO_LOCATIONS,FIBER_AVAILABILITY_STATUS,25,TEXT,16777216,,,YES,,
S3_STAGES,DL_VETRO_LOCATIONS,STATUS,26,TEXT,16777216,,,YES,,
S3_STAGES,DL_VETRO_LOCATIONS,PREM_ID,27,TEXT,16777216,,,YES,,
S3_STAGES,DL_VETRO_LOCATIONS,PREMISE_ID,28,TEXT,16777216,,,YES,,
S3_STAGES,DL_VETRO_LOCATIONS,NISC_SERVICE_LOCATION,29,TEXT,16777216,,,YES,,
S3_STAGES,DL_VETRO_LOCATIONS,FABRIC_ID,30,TEXT,16777216,,,YES,,
S3_STAGES,DL_VETRO_LOCATIONS,SERVICE_ZONE_ID,31,TEXT,16777216,,,YES,,
S3_STAGES,DL_VETRO_LOCATIONS,VETRO_ID,32,TEXT,16777216,,,YES,,
S3_STAGES,VW_LABOR_CODES,CODE,1,TEXT,16777216,,,YES,,
S3_STAGES,VW_LABOR_CODES,RUS_CODE,2,TEXT,16777216,,,YES,,
S3_STAGES,VW_LABOR_CODES,DESCRIPTION,3,TEXT,16777216,,,YES,,
S3_STAGES,VW_LABOR_CODES,UOM,4,TEXT,16777216,,,YES,,
S3_STAGES,VW_LABOR_CODES,RATE,5,FLOAT,,,,YES,,
S3_STAGES,VW_LABOR_CODES,MODIFIED,6,TIMESTAMP_NTZ,,,,YES,,
S3_STAGES,VW_LABOR_CODES,UNIT_CODE,7,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_ASSETS,ASSET_ID,1,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_ASSETS,CUSTOMER_DESIGN_VERSION,2,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_ASSETS,INSPECTION_TASK_TYPE,3,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_ASSETS,INSPECTION_TASK_BLUEPRINTED,4,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_ASSETS,CONSTRUCTION_TASK_ID,5,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_ASSETS,CONSTRUCTION_TASK_NET_ID,6,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_ASSETS,CONSTRUCTION_TASK_COMPLETE,7,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_TICKETS,TASK_ID,1,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_TICKETS,PROJECT_ID,2,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_TICKETS,TASK,3,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_TICKETS,PHASE,4,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_TICKETS,QTTY,5,NUMBER,,38,0,YES,,
S3_STAGES,VW_RENDER_TICKETS,STREET_ADDRESS,6,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_TICKETS,ROAD_NAME,7,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_TICKETS,STATUS,8,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_TICKETS,CONTRACTOR,9,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_TICKETS,WORK_PACKAGE,10,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_TICKETS,FFP,11,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_TICKETS,ASSET_ID,12,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_TICKETS,RESOURCE_ID,13,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_TICKETS,RESOURCE_USER_NAME,14,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_TICKETS,DATE_RELEASED,15,DATE,,,,YES,,
S3_STAGES,VW_RENDER_TICKETS,DATE_COMPLETED,16,DATE,,,,YES,,
S3_STAGES,VW_RENDER_TICKETS,DATE_APPROVED,17,DATE,,,,YES,,
S3_STAGES,VW_RENDER_TICKETS,ACTION,18,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_TICKETS,WORK_ACTIVITY,19,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_TICKETS,GROUP_ID,20,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_TICKETS,NOTES,21,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_TICKETS,BLUEPRINTED_DATE,22,DATE,,,,YES,,
S3_STAGES,VW_RENDER_TICKETS,TARGET_DATE,23,DATE,,,,YES,,
S3_STAGES,VW_RENDER_TICKETS,LABELS_GENERAL,24,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_TICKETS,LABELS_GRANT_ID,25,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_TICKETS,LABELS_WORK_ORDER,26,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_UNITS,PROJECT,1,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_UNITS,TASK_ID,2,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_UNITS,STATUS,3,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_UNITS,TASK_TYPE,4,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_UNITS,WORK_PACKAGE,5,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_UNITS,SUBSECTOR,6,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_UNITS,LABELS_GENERAL,7,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_UNITS,LABELS_GRANT_ID,8,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_UNITS,LABELS_JOB_TYPE,9,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_UNITS,LABELS_SUPERVISOR,10,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_UNITS,LABELS_GRANT_AREAS,11,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_UNITS,LABELS_DROP_ADMIN,12,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_UNITS,LABELS_WORK_ORDER,13,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_UNITS,LABELS_DROP_API,14,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_UNITS,LABELS_WORK_CATEGORY,15,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_UNITS,LABELS_ERP_PROJECT_ID,16,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_UNITS,LABELS_FUNDING_POLYGONS,17,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_UNITS,LABELS_BLUEPRINT_ID,18,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_UNITS,ASSET_ID,19,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_UNITS,UNIT_TYPE,20,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_UNITS,RUS_CODE,21,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_UNITS,UNIT_CODE,22,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_UNITS,UNIT_DESCRIPTION,23,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_UNITS,UOM,24,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_UNITS,CONTRACTOR,25,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_UNITS,INSTALLED_PER_TASK_NOTES,26,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_UNITS,CREW_NAME,27,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_UNITS,WORK_ACTIVITY,28,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_UNITS,ACTUAL_QUANTITY,29,FLOAT,,,,YES,,
S3_STAGES,VW_RENDER_UNITS,APPROVING_USER,30,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_UNITS,APPROVED_DATE,31,DATE,,,,YES,,
S3_STAGES,VW_RENDER_UNITS,COMPLETED_DATE,32,DATE,,,,YES,,
S3_STAGES,VW_RENDER_UNITS,ORIGINAL_COMPLETED_DATE,33,DATE,,,,YES,,
S3_STAGES,VW_RENDER_UNITS,CHANGE_REQUEST_APPROVAL_NUMBER,34,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_UNITS,CONSTRUCTION_NOTES,35,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_UNITS,TASK_NOTES,36,TEXT,16777216,,,YES,,
S3_STAGES,VW_RENDER_UNITS,PLANNED_QUANTITY,37,FLOAT,,,,YES,,
S3_STAGES,VW_RENDER_UNITS,STREET_ADDRESS,38,TEXT,16777216,,,YES,,
S3_STAGES,VW_VETRO_LOCATIONS,LONGITUDE,1,FLOAT,,,,YES,,
S3_STAGES,VW_VETRO_LOCATIONS,LATITUDE,2,FLOAT,,,,YES,,
S3_STAGES,VW_VETRO_LOCATIONS,V_LAYER,3,TEXT,16777216,,,YES,,
S3_STAGES,VW_VETRO_LOCATIONS,V_PROJECT,4,TEXT,16777216,,,YES,,
S3_STAGES,VW_VETRO_LOCATIONS,V_PLAN,5,TEXT,16777216,,,YES,,
S3_STAGES,VW_VETRO_LOCATIONS,V_STATUS,6,TEXT,16777216,,,YES,,
S3_STAGES,VW_VETRO_LOCATIONS,ID,7,TEXT,16777216,,,YES,,
S3_STAGES,VW_VETRO_LOCATIONS,ADDRESS,8,TEXT,16777216,,,YES,,
S3_STAGES,VW_VETRO_LOCATIONS,STREET_ADDRESS,9,TEXT,16777216,,,YES,,
S3_STAGES,VW_VETRO_LOCATIONS,HOUSE_NUMBER,10,TEXT,16777216,,,YES,,
S3_STAGES,VW_VETRO_LOCATIONS,STREET_NAME,11,TEXT,16777216,,,YES,,
S3_STAGES,VW_VETRO_LOCATIONS,STREET_SUFFIX,12,TEXT,16777216,,,YES,,
S3_STAGES,VW_VETRO_LOCATIONS,STREET_DIRECTION,13,TEXT,16777216,,,YES,,
S3_STAGES,VW_VETRO_LOCATIONS,CITY,14,TEXT,16777216,,,YES,,
S3_STAGES,VW_VETRO_LOCATIONS,STATE,15,TEXT,16777216,,,YES,,
S3_STAGES,VW_VETRO_LOCATIONS,ZIP_CODE,16,TEXT,16777216,,,YES,,
S3_STAGES,VW_VETRO_LOCATIONS,BUILDING_TYPE,17,TEXT,16777216,,,YES,,
S3_STAGES,VW_VETRO_LOCATIONS,NOTE,18,TEXT,16777216,,,YES,,
S3_STAGES,VW_VETRO_LOCATIONS,DROP_TYPE,19,TEXT,16777216,,,YES,,
S3_STAGES,VW_VETRO_LOCATIONS,BUILD,20,TEXT,16777216,,,YES,,
S3_STAGES,VW_VETRO_LOCATIONS,REC_MEMBER,21,TEXT,16777216,,,YES,,
S3_STAGES,VW_VETRO_LOCATIONS,ADDRESS_TYPE,22,TEXT,16777216,,,YES,,
S3_STAGES,VW_VETRO_LOCATIONS,DEFERRED_BUILD,23,TEXT,16777216,,,YES,,
S3_STAGES,VW_VETRO_LOCATIONS,UNIT_NUMBER,24,TEXT,16777216,,,YES,,
S3_STAGES,VW_VETRO_LOCATIONS,FIBER_AVAILABILITY_STATUS,25,TEXT,16777216,,,YES,,
S3_STAGES,VW_VETRO_LOCATIONS,STATUS,26,TEXT,16777216,,,YES,,
S3_STAGES,VW_VETRO_LOCATIONS,PREM_ID,27,TEXT,16777216,,,YES,,
S3_STAGES,VW_VETRO_LOCATIONS,PREMISE_ID,28,TEXT,16777216,,,YES,,
S3_STAGES,VW_VETRO_LOCATIONS,NISC_SERVICE_LOCATION,29,TEXT,16777216,,,YES,,
S3_STAGES,VW_VETRO_LOCATIONS,FABRIC_ID,30,TEXT,16777216,,,YES,,
S3_STAGES,VW_VETRO_LOCATIONS,SERVICE_ZONE_ID,31,TEXT,16777216,,,YES,,
S3_STAGES,VW_VETRO_LOCATIONS,VETRO_ID,32,TEXT,16777216,,,YES,,
